id,experiences_offered,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,minimum_nights,cancellation_policy,price
20872145,none,f,t,Roslindale,Apartment,Private room,2,1,0,1,"{""Wireless Internet"",Gym,Heating,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Private living room"",Microwave,""Coffee maker""}",1,moderate,$60.00 
13937181,none,t,f,Roslindale,House,Private room,2,2,1,1,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Bed linens"",""Extra pillows and blankets""}",2,flexible,$45.00 
3575220,none,t,t,Roslindale,House,Private room,1,2.5,1,1,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,moderate,$50.00 
17419858,none,f,f,Roslindale,Apartment,Private room,2,2,1,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Gym,""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Private living room""}",6,strict,$65.00 
18202496,none,f,t,Roslindale,House,Private room,2,1,1,1,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room""}",1,flexible,$56.00 
16987125,none,f,f,Roslindale,Apartment,Private room,2,1,1,2,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1,strict,$69.00 
1668313,none,f,t,Roslindale,House,Private room,1,1,1,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",1,flexible,$53.00 
13768853,none,f,t,Roslindale,Apartment,Private room,4,1,1,2,"{""Wireless Internet"",""Air conditioning"",Kitchen,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Laptop friendly workspace""}",2,flexible,$50.00 
19248168,none,f,f,Roslindale,Apartment,Entire home/apt,3,1,1,1,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,Iron,""translation missing: en.hosting_amenity_50"",""Private entrance"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",2,moderate,$86.00 
849408,none,t,t,Roslindale,Apartment,Entire home/apt,7,1,3,3,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad,""Private entrance"",Bathtub,""Pack ‰Ûªn Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet""}",3,strict,$239.00 
