"","host_is_superhost","host_identity_verified","zipcode","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy"
"1","f","t","02131","Apartment","Private room",2,1,0,1,"Real Bed",60,2,1,2,"t","f","moderate"
"2","t","f","02131","House","Private room",2,2,1,1,"Real Bed",45,1,2,29,"f","f","flexible"
"3","t","t","02131","House","Private room",1,2.5,1,1,"Real Bed",50,1,2,17,"f","f","moderate"
"4","f","f","02131","Apartment","Private room",2,2,1,1,"Real Bed",65,1,6,5,"t","f","strict"
"5","f","t","02131","House","Private room",2,1,1,1,"Real Bed",56,1,1,3,"f","f","flexible"
"6","f","f","02131","Apartment","Private room",2,1,1,2,"Real Bed",69,1,1,5,"f","f","strict"
"7","f","t","02131","House","Private room",1,1,1,1,"Real Bed",53,1,1,21,"f","f","flexible"
"8","f","t","02131","Apartment","Private room",4,1,1,2,"Real Bed",50,1,2,10,"f","f","flexible"
"9","f","f","02131","Apartment","Entire home/apt",3,1,1,1,"Real Bed",86,1,2,10,"t","f","moderate"
"10","t","t","02131","Apartment","Entire home/apt",7,1,3,3,"Real Bed",239,4,3,41,"f","t","strict"
"11","t","t","02131","Condominium","Private room",2,1,1,1,"Real Bed",75,1,2,25,"f","f","flexible"
"12","f","t","02131","Apartment","Private room",1,0,1,1,"Real Bed",59,1,1,80,"f","f","strict"
"13","f","f","02136","Apartment","Private room",2,1,1,1,"Real Bed",29,2,1,0,"f","f","strict"
"14","f","t","02131","Apartment","Private room",2,0,1,1,"Real Bed",70,1,1,52,"f","f","strict"
"15","f","f","02131","House","Private room",4,1,1,3,"Real Bed",155,3,3,3,"f","f","flexible"
"16","f","f","02136","In-law","Entire home/apt",4,1,1,2,"Real Bed",59,2,1,1,"f","f","strict"
"17","f","t","02131","House","Entire home/apt",4,2.5,2,4,"Real Bed",261,1,2,0,"f","f","flexible"
"18","f","t","02131","House","Entire home/apt",16,1,4,9,"Real Bed",150,1,1,55,"f","t","strict"
"19","f","f","02131","House","Private room",2,1,1,1,"Real Bed",60,1,1,4,"t","f","strict"
"20","t","t","02131","Condominium","Private room",2,1,1,2,"Real Bed",58,2,2,102,"f","f","moderate"
"21","t","t","02131","House","Private room",2,1,1,2,"Real Bed",68,1,2,69,"f","f","flexible"
"22","t","t","02131","House","Private room",4,1.5,2,3,"Real Bed",140,4,2,10,"f","f","flexible"
"23","t","f","02131","Apartment","Entire home/apt",3,1,0,2,"Real Bed",125,1,2,13,"f","f","flexible"
"24","t","t","02131","Apartment","Entire home/apt",6,1,2,2,"Real Bed",175,4,2,14,"t","f","strict"
"25","f","f","02131","Condominium","Private room",2,1,1,1,"Real Bed",65,1,1,2,"t","f","flexible"
"26","f","f","02131","Apartment","Private room",1,1,0,1,"Real Bed",50,1,1,0,"t","f","flexible"
"27","f","f","02131","House","Private room",3,1,1,2,"Real Bed",37,1,1,3,"f","f","strict"
"28","f","f","02131","Apartment","Entire home/apt",4,1,1,3,"Real Bed",96,1,2,4,"t","f","flexible"
"29","f","f","02131","House","Private room",2,1,1,1,"Real Bed",60,1,1,10,"f","f","flexible"
"30","t","t","02131","House","Private room",1,1.5,1,1,"Real Bed",50,1,2,16,"f","f","moderate"
"31","f","t","02131","House","Private room",2,1,1,1,"Real Bed",50,1,5,6,"f","f","strict"
"32","t","t","02131","Loft","Entire home/apt",2,1,1,1,"Real Bed",125,2,2,33,"f","t","strict"
"33","t","t","02131","House","Entire home/apt",3,1,2,2,"Real Bed",125,2,14,12,"f","f","moderate"
"34","t","t","02131","Villa","Private room",1,2.5,1,1,"Real Bed",50,1,2,34,"f","f","flexible"
"35","t","t","02131","House","Private room",2,1,1,1,"Real Bed",75,1,2,79,"f","f","moderate"
"36","f","t","02131","Apartment","Private room",2,1,1,1,"Real Bed",82,1,1,14,"f","f","strict"
"37","f","t","02131","Apartment","Entire home/apt",4,1,1,2,"Real Bed",150,1,1,2,"f","f","flexible"
"38","t","f","02131","House","Private room",1,1,1,1,"Real Bed",54,1,1,26,"t","f","flexible"
"39","f","f","02131","House","Private room",2,1,1,1,"Real Bed",69,1,2,5,"t","f","strict"
"40","f","f","02131","Apartment","Private room",2,1,1,1,"Real Bed",115,1,1,0,"f","f","strict"
"41","f","t","02131","House","Entire home/apt",8,1,3,5,"Real Bed",150,6,3,21,"f","f","flexible"
"42","f","t","02131","Apartment","Private room",1,2.5,1,1,"Real Bed",50,1,2,5,"f","f","moderate"
"44","f","t","02131","House","Entire home/apt",5,3.5,4,3,"Real Bed",175,1,14,1,"f","f","moderate"
"45","t","t","02131","House","Private room",2,1.5,1,1,"Real Bed",95,1,1,44,"f","f","moderate"
"46","f","f","02131","House","Private room",1,1.5,1,1,"Real Bed",75,1,1,27,"f","f","flexible"
"47","f","t","02131","Condominium","Private room",2,1,1,2,"Real Bed",55,1,1,45,"f","f","flexible"
"48","f","f","02136","House","Private room",3,1,1,2,"Real Bed",29,2,1,0,"f","f","strict"
"49","f","t","02131","House","Private room",2,1,1,1,"Real Bed",50,1,5,12,"f","f","strict"
"50","f","f","02131","Townhouse","Private room",4,1.5,1,2,"Real Bed",85,1,1,23,"f","f","strict"
"51","t","f","02131","Apartment","Private room",2,1,1,1,"Real Bed",65,1,2,49,"f","f","moderate"
"52","f","f","02131","Apartment","Entire home/apt",2,1,1,1,"Real Bed",85,1,7,1,"f","f","flexible"
"53","t","t","02131","House","Entire home/apt",8,2,3,4,"Real Bed",209,5,1,1,"f","f","strict"
"54","t","t","02131","House","Private room",2,1,1,1,"Real Bed",65,1,2,9,"f","f","flexible"
"55","f","t","02131","House","Entire home/apt",4,1.5,2,3,"Real Bed",250,1,2,0,"f","f","strict"
"56","f","t","02131","House","Private room",2,1,1,1,"Real Bed",67,1,1,25,"f","f","flexible"
"57","f","t","02131","House","Entire home/apt",16,2.5,3,7,"Real Bed",200,1,1,130,"f","t","strict"
"58","f","f","02136","House","Private room",2,1,1,2,"Real Bed",29,2,1,0,"f","f","strict"
"59","t","t","02131","Apartment","Private room",2,1,1,1,"Real Bed",65,1,3,58,"f","f","moderate"
"60","f","t","02131","Apartment","Private room",2,1,1,1,"Real Bed",65,1,2,0,"t","f","strict"
"61","t","t","02131","House","Private room",2,2,1,1,"Real Bed",85,1,1,26,"f","f","moderate"
"62","f","f","02131","House","Private room",1,1,1,1,"Real Bed",39,1,2,9,"t","f","strict"
"63","f","t","02131","House","Entire home/apt",4,1.5,3,3,"Real Bed",100,1,1,0,"f","f","flexible"
"64","f","f","02131","Apartment","Private room",2,1,1,1,"Real Bed",50,1,1,7,"t","f","strict"
"65","f","t","02131","Apartment","Entire home/apt",3,1,1,2,"Real Bed",100,1,1,78,"f","f","strict"
"66","t","t","02131","Apartment","Private room",2,1,1,1,"Futon",62,1,1,45,"f","f","flexible"
"67","f","t","02131","Condominium","Private room",2,2.5,1,1,"Real Bed",60,1,2,1,"f","f","moderate"
"68","t","t","02131","Apartment","Entire home/apt",6,2,2,3,"Real Bed",200,2,2,1,"f","f","strict"
"69","f","f","02131","House","Entire home/apt",6,1.5,3,3,"Real Bed",125,1,3,8,"f","f","strict"
"70","f","f","02131","House","Entire home/apt",4,1,2,2,"Real Bed",141,3,4,34,"f","f","strict"
"71","f","f","02131","House","Entire home/apt",6,1,2,3,"Real Bed",105,3,1,21,"t","t","strict"
"72","f","t","02131","House","Entire home/apt",6,1,3,4,"Real Bed",150,1,1,8,"f","f","strict"
"73","f","f","02131","Apartment","Entire home/apt",6,1,2,4,"Real Bed",147,3,1,0,"f","f","strict"
"74","f","t","02131","House","Private room",1,1,1,1,"Real Bed",75,1,1,0,"t","f","flexible"
"75","f","t","02131","House","Entire home/apt",16,1,5,11,"Real Bed",200,1,1,18,"f","t","strict"
"76","t","t","02131","House","Private room",2,1.5,1,1,"Real Bed",85,1,1,38,"f","f","moderate"
"77","f","t","02131","House","Private room",1,1,1,1,"Real Bed",75,1,3,13,"f","f","strict"
"78","t","t","02131","House","Private room",1,1,1,1,"Real Bed",72,1,3,35,"t","f","flexible"
"79","t","t","02131","Apartment","Private room",2,1,1,2,"Real Bed",79,1,1,9,"f","f","flexible"
"80","f","f","02131","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,1,1,6,"f","f","moderate"
"81","f","f","02131","House","Private room",2,1,1,1,"Real Bed",49,1,2,0,"t","f","strict"
"82","t","t","02131","House","Entire home/apt",8,1,3,5,"Real Bed",150,8,2,46,"f","t","strict"
"83","f","f","02131","House","Private room",2,1,1,1,"Real Bed",49,1,2,0,"t","f","strict"
"84","f","t","02131","House","Private room",2,1,1,2,"Real Bed",90,1,1,2,"f","f","flexible"
"85","f","t","02131","Apartment","Entire home/apt",3,1,1,1,"Real Bed",125,1,1,85,"f","t","strict"
"86","f","t","02131","House","Private room",2,2,1,1,"Real Bed",50,1,2,12,"f","f","flexible"
"87","f","t","02131","House","Entire home/apt",5,2.5,3,3,"Real Bed",225,1,5,3,"f","f","flexible"
"88","f","f","02131","Apartment","Entire home/apt",1,1,0,1,"Real Bed",106,1,4,7,"f","f","strict"
"89","f","f","02131","House","Private room",1,0.5,1,1,"Real Bed",31,1,7,12,"f","f","flexible"
"90","f","t","02131","House","Entire home/apt",7,2,3,4,"Real Bed",285,5,3,7,"f","t","strict"
"91","f","t","02131","Apartment","Private room",3,1,1,2,"Real Bed",55,2,2,13,"f","f","strict"
"92","f","t","02131","House","Private room",1,1,1,1,"Real Bed",50,1,5,1,"f","f","strict"
"93","f","t","02131","House","Private room",1,1,1,1,"Real Bed",59,1,5,4,"f","f","strict"
"94","t","t","02131","Apartment","Entire home/apt",3,1,1,2,"Real Bed",95,2,2,10,"f","t","moderate"
"95","t","t","02131","House","Private room",2,2,1,1,"Real Bed",85,1,1,74,"f","f","moderate"
"96","t","t","02131","Apartment","Entire home/apt",6,1,2,2,"Real Bed",199,4,2,4,"t","f","strict"
"97","f","t","02130","House","Private room",2,1,1,1,"Real Bed",95,1,4,62,"f","f","moderate"
"98","f","f","02130","Condominium","Private room",2,1,1,1,"Real Bed",55,1,1,6,"t","f","flexible"
"99","f","t","02130","House","Private room",2,1,1,1,"Real Bed",95,2,1,22,"t","f","moderate"
"100","f","f","02130","Other","Private room",2,1,1,1,"Real Bed",58,1,1,37,"t","f","moderate"
"101","f","f","02130","House","Private room",2,1,1,1,"Real Bed",60,1,1,0,"f","f","flexible"
"102","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",40,1,3,12,"t","f","strict"
"103","t","t","02130","Other","Private room",2,1.5,1,1,"Real Bed",75,2,1,152,"f","f","moderate"
"104","t","t","02130","House","Private room",3,1,1,2,"Real Bed",120,1,2,189,"t","f","strict"
"105","f","t","02130","House","Private room",2,1,0,1,"Real Bed",67,1,2,1,"f","f","moderate"
"106","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",51,1,1,0,"t","f","strict"
"107","f","t","02130","Apartment","Private room",2,1,1,1,"Pull-out Sofa",64,1,1,37,"f","f","moderate"
"108","t","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",60,1,1,171,"f","f","moderate"
"109","f","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",110,1,1,35,"t","f","flexible"
"110","t","f","02130","Apartment","Private room",1,1,1,1,"Real Bed",65,1,3,130,"t","f","moderate"
"111","f","t","02130","Condominium","Private room",2,1,1,1,"Real Bed",90,1,1,10,"t","f","flexible"
"112","f","t","02130","House","Private room",3,1,1,2,"Real Bed",155,3,1,19,"t","f","moderate"
"113","t","t","02130","House","Private room",3,1,1,2,"Real Bed",95,1,2,57,"f","f","moderate"
"114","t","t","02130","Apartment","Private room",2,1,1,1,"Pull-out Sofa",60,1,1,171,"t","f","strict"
"115","f","f","02130","Apartment","Private room",4,1,1,2,"Real Bed",92,2,2,10,"t","f","strict"
