"","host_is_superhost","host_identity_verified","neighborhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","ddowntown","dairport"
"1","f","t","Roslindale","Apartment","Private room",2,1,0,1,"Real Bed",60,2,1,2,"t","f","moderate",7845,10972
"2","t","f","Roslindale","House","Private room",2,2,1,1,"Real Bed",45,1,2,29,"f","f","flexible",7845,10972
"3","t","t","Roslindale","House","Private room",1,2.5,1,1,"Real Bed",50,1,2,17,"f","f","moderate",7845,10972
"4","f","f","Roslindale","Apartment","Private room",2,2,1,1,"Real Bed",65,1,6,5,"t","f","strict",7845,10972
"5","f","t","Roslindale","House","Private room",2,1,1,1,"Real Bed",56,1,1,3,"f","f","flexible",7845,10972
"6","f","f","Roslindale","Apartment","Private room",2,1,1,2,"Real Bed",69,1,1,5,"f","f","strict",7845,10972
"7","f","t","Roslindale","House","Private room",1,1,1,1,"Real Bed",53,1,1,21,"f","f","flexible",7845,10972
"8","f","t","Roslindale","Apartment","Private room",4,1,1,2,"Real Bed",50,1,2,10,"f","f","flexible",7845,10972
"9","f","f","Roslindale","Apartment","Entire home/apt",3,1,1,1,"Real Bed",86,1,2,10,"t","f","moderate",7845,10972
"10","t","t","Roslindale","Apartment","Entire home/apt",7,1,3,3,"Real Bed",239,4,3,41,"f","t","strict",7845,10972
"11","t","t","Roslindale","Condominium","Private room",2,1,1,1,"Real Bed",75,1,2,25,"f","f","flexible",7845,10972
"12","f","t","Roslindale","Apartment","Private room",1,0,1,1,"Real Bed",59,1,1,80,"f","f","strict",7845,10972
"13","f","f","Roslindale","Apartment","Private room",2,1,1,1,"Real Bed",29,2,1,0,"f","f","strict",7845,10972
"14","f","t","Roslindale","Apartment","Private room",2,0,1,1,"Real Bed",70,1,1,52,"f","f","strict",7845,10972
"15","f","f","Roslindale","House","Private room",4,1,1,3,"Real Bed",155,3,3,3,"f","f","flexible",7845,10972
"16","f","f","Roslindale","In-law","Entire home/apt",4,1,1,2,"Real Bed",59,2,1,1,"f","f","strict",7845,10972
"17","f","t","Roslindale","House","Entire home/apt",4,2.5,2,4,"Real Bed",261,1,2,0,"f","f","flexible",7845,10972
"18","f","t","Roslindale","House","Entire home/apt",16,1,4,9,"Real Bed",150,1,1,55,"f","t","strict",7845,10972
"19","f","f","Roslindale","House","Private room",2,1,1,1,"Real Bed",60,1,1,4,"t","f","strict",7845,10972
"20","t","t","Roslindale","Condominium","Private room",2,1,1,2,"Real Bed",58,2,2,102,"f","f","moderate",7845,10972
"21","t","t","Roslindale","House","Private room",2,1,1,2,"Real Bed",68,1,2,69,"f","f","flexible",7845,10972
"22","t","t","Roslindale","House","Private room",4,1.5,2,3,"Real Bed",140,4,2,10,"f","f","flexible",7845,10972
"23","t","f","Roslindale","Apartment","Entire home/apt",3,1,0,2,"Real Bed",125,1,2,13,"f","f","flexible",7845,10972
"24","t","t","Roslindale","Apartment","Entire home/apt",6,1,2,2,"Real Bed",175,4,2,14,"t","f","strict",7845,10972
"25","f","f","Roslindale","Condominium","Private room",2,1,1,1,"Real Bed",65,1,1,2,"t","f","flexible",7845,10972
"26","f","f","Roslindale","Apartment","Private room",1,1,0,1,"Real Bed",50,1,1,0,"t","f","flexible",7845,10972
"27","f","f","Roslindale","House","Private room",3,1,1,2,"Real Bed",37,1,1,3,"f","f","strict",7845,10972
"28","f","f","Roslindale","Apartment","Entire home/apt",4,1,1,3,"Real Bed",96,1,2,4,"t","f","flexible",7845,10972
"29","f","f","Roslindale","House","Private room",2,1,1,1,"Real Bed",60,1,1,10,"f","f","flexible",7845,10972
"30","t","t","Roslindale","House","Private room",1,1.5,1,1,"Real Bed",50,1,2,16,"f","f","moderate",7845,10972
"31","f","t","Roslindale","House","Private room",2,1,1,1,"Real Bed",50,1,5,6,"f","f","strict",7845,10972
"32","t","t","Roslindale","Loft","Entire home/apt",2,1,1,1,"Real Bed",125,2,2,33,"f","t","strict",7845,10972
"33","t","t","Roslindale","House","Entire home/apt",3,1,2,2,"Real Bed",125,2,14,12,"f","f","moderate",7845,10972
"34","t","t","Roslindale","Villa","Private room",1,2.5,1,1,"Real Bed",50,1,2,34,"f","f","flexible",7845,10972
"35","t","t","Roslindale","House","Private room",2,1,1,1,"Real Bed",75,1,2,79,"f","f","moderate",7845,10972
"36","f","t","Roslindale","Apartment","Private room",2,1,1,1,"Real Bed",82,1,1,14,"f","f","strict",7845,10972
