"","host_is_superhost","host_identity_verified","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","downtown","airport","ddowntown"
"1","f","t","Apartment","Private room",2,1,0,1,"Real Bed",60,2,1,2,"t","f","moderate",0,0,13615
"2","t","f","House","Private room",2,2,1,1,"Real Bed",45,1,2,29,"f","f","flexible",0,0,13615
"3","t","t","House","Private room",1,2.5,1,1,"Real Bed",50,1,2,17,"f","f","moderate",0,0,13615
"4","f","f","Apartment","Private room",2,2,1,1,"Real Bed",65,1,6,5,"t","f","strict",0,0,13615
"5","f","t","House","Private room",2,1,1,1,"Real Bed",56,1,1,3,"f","f","flexible",0,0,13615
"6","f","f","Apartment","Private room",2,1,1,2,"Real Bed",69,1,1,5,"f","f","strict",0,0,13615
"7","f","t","House","Private room",1,1,1,1,"Real Bed",53,1,1,21,"f","f","flexible",0,0,13615
"8","f","t","Apartment","Private room",4,1,1,2,"Real Bed",50,1,2,10,"f","f","flexible",0,0,13615
"9","f","f","Apartment","Entire home/apt",3,1,1,1,"Real Bed",86,1,2,10,"t","f","moderate",0,0,13615
"10","t","t","Apartment","Entire home/apt",7,1,3,3,"Real Bed",239,4,3,41,"f","t","strict",0,0,13615
"11","t","t","Condominium","Private room",2,1,1,1,"Real Bed",75,1,2,25,"f","f","flexible",0,0,13615
"12","f","t","Apartment","Private room",1,0,1,1,"Real Bed",59,1,1,80,"f","f","strict",0,0,13615
"13","f","f","Apartment","Private room",2,1,1,1,"Real Bed",29,2,1,0,"f","f","strict",0,0,13615
"14","f","t","Apartment","Private room",2,0,1,1,"Real Bed",70,1,1,52,"f","f","strict",0,0,13615
"15","f","f","House","Private room",4,1,1,3,"Real Bed",155,3,3,3,"f","f","flexible",0,0,13615
"16","f","f","In-law","Entire home/apt",4,1,1,2,"Real Bed",59,2,1,1,"f","f","strict",0,0,13615
"17","f","t","House","Entire home/apt",4,2.5,2,4,"Real Bed",261,1,2,0,"f","f","flexible",0,0,13615
"18","f","t","House","Entire home/apt",16,1,4,9,"Real Bed",150,1,1,55,"f","t","strict",0,0,13615
"19","f","f","House","Private room",2,1,1,1,"Real Bed",60,1,1,4,"t","f","strict",0,0,13615
"20","t","t","Condominium","Private room",2,1,1,2,"Real Bed",58,2,2,102,"f","f","moderate",0,0,13615
"21","t","t","House","Private room",2,1,1,2,"Real Bed",68,1,2,69,"f","f","flexible",0,0,13615
"22","t","t","House","Private room",4,1.5,2,3,"Real Bed",140,4,2,10,"f","f","flexible",0,0,13615
"23","t","f","Apartment","Entire home/apt",3,1,0,2,"Real Bed",125,1,2,13,"f","f","flexible",0,0,13615
"24","t","t","Apartment","Entire home/apt",6,1,2,2,"Real Bed",175,4,2,14,"t","f","strict",0,0,13615
"25","f","f","Condominium","Private room",2,1,1,1,"Real Bed",65,1,1,2,"t","f","flexible",0,0,13615
"26","f","f","Apartment","Private room",1,1,0,1,"Real Bed",50,1,1,0,"t","f","flexible",0,0,13615
"27","f","f","House","Private room",3,1,1,2,"Real Bed",37,1,1,3,"f","f","strict",0,0,13615
"28","f","f","Apartment","Entire home/apt",4,1,1,3,"Real Bed",96,1,2,4,"t","f","flexible",0,0,13615
"29","f","f","House","Private room",2,1,1,1,"Real Bed",60,1,1,10,"f","f","flexible",0,0,13615
"30","t","t","House","Private room",1,1.5,1,1,"Real Bed",50,1,2,16,"f","f","moderate",0,0,13615
"31","f","t","House","Private room",2,1,1,1,"Real Bed",50,1,5,6,"f","f","strict",0,0,13615
"32","t","t","Loft","Entire home/apt",2,1,1,1,"Real Bed",125,2,2,33,"f","t","strict",0,0,13615
"33","t","t","House","Entire home/apt",3,1,2,2,"Real Bed",125,2,14,12,"f","f","moderate",0,0,13615
"34","t","t","Villa","Private room",1,2.5,1,1,"Real Bed",50,1,2,34,"f","f","flexible",0,0,13615
"35","t","t","House","Private room",2,1,1,1,"Real Bed",75,1,2,79,"f","f","moderate",0,0,13615
"36","f","t","Apartment","Private room",2,1,1,1,"Real Bed",82,1,1,14,"f","f","strict",0,0,13615
"37","f","t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",150,1,1,2,"f","f","flexible",0,0,13615
"38","t","f","House","Private room",1,1,1,1,"Real Bed",54,1,1,26,"t","f","flexible",0,0,13615
"39","f","f","House","Private room",2,1,1,1,"Real Bed",69,1,2,5,"t","f","strict",0,0,13615
"40","f","f","Apartment","Private room",2,1,1,1,"Real Bed",115,1,1,0,"f","f","strict",0,0,13615
"41","f","t","House","Entire home/apt",8,1,3,5,"Real Bed",150,6,3,21,"f","f","flexible",0,0,13615
"42","f","t","Apartment","Private room",1,2.5,1,1,"Real Bed",50,1,2,5,"f","f","moderate",0,0,13615
"43","f","t","Condominium","Entire home/apt",4,2,2,2,"Real Bed",148,2,2,5,"f","f","moderate",0,0,13615
"44","f","t","House","Entire home/apt",5,3.5,4,3,"Real Bed",175,1,14,1,"f","f","moderate",0,0,13615
"45","t","t","House","Private room",2,1.5,1,1,"Real Bed",95,1,1,44,"f","f","moderate",0,0,13615
"46","f","f","House","Private room",1,1.5,1,1,"Real Bed",75,1,1,27,"f","f","flexible",0,0,13615
"47","f","t","Condominium","Private room",2,1,1,2,"Real Bed",55,1,1,45,"f","f","flexible",0,0,13615
"48","f","f","House","Private room",3,1,1,2,"Real Bed",29,2,1,0,"f","f","strict",0,0,13615
"49","f","t","House","Private room",2,1,1,1,"Real Bed",50,1,5,12,"f","f","strict",0,0,13615
"50","f","f","Townhouse","Private room",4,1.5,1,2,"Real Bed",85,1,1,23,"f","f","strict",0,0,13615
"51","t","f","Apartment","Private room",2,1,1,1,"Real Bed",65,1,2,49,"f","f","moderate",0,0,13615
"52","f","f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",85,1,7,1,"f","f","flexible",0,0,13615
"53","t","t","House","Entire home/apt",8,2,3,4,"Real Bed",209,5,1,1,"f","f","strict",0,0,13615
