"","host_is_superhost","host_identity_verified","neighborhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy"
"140","t","t","Jamaica Plain","Apartment","Entire home/apt",8,2,4,6,"Real Bed",439,6,2,51,"t","t","strict"
"183","f","t","Jamaica Plain","Apartment","Entire home/apt",6,1,3,3,"Real Bed",500,5,3,9,"f","f","strict"
"222","f","f","Jamaica Plain","House","Entire home/apt",8,3.5,4,4,"Real Bed",495,1,14,0,"t","f","flexible"
"340","f","f","Jamaica Plain","House","Entire home/apt",6,3,3,6,"Real Bed",450,1,1,11,"f","f","flexible"
"360","f","t","Jamaica Plain","Apartment","Entire home/apt",6,1.5,3,3,"Real Bed",499,5,2,96,"f","f","strict"
"375","f","f","Jamaica Plain","House","Entire home/apt",10,3.5,4,7,"Real Bed",650,1,2,1,"f","f","flexible"
"377","t","t","Jamaica Plain","House","Entire home/apt",10,2.5,4,6,"Real Bed",575,8,3,54,"f","f","strict"
"386","f","f","Jamaica Plain","Apartment","Entire home/apt",12,2,4,5,"Real Bed",725,1,3,17,"f","f","strict"
"396","t","t","Jamaica Plain","House","Entire home/apt",11,3.5,5,5,"Real Bed",500,6,3,45,"f","t","strict"
"397","f","t","Jamaica Plain","House","Entire home/apt",8,2.5,3,4,"Real Bed",450,4,2,12,"f","f","moderate"
"413","f","t","Jamaica Plain","House","Entire home/apt",10,2.5,4,6,"Real Bed",500,1,3,7,"f","f","moderate"
"420","f","f","Jamaica Plain","Apartment","Entire home/apt",6,1,3,3,"Real Bed",500,5,1,0,"f","f","flexible"
"474","f","f","Jamaica Plain","Apartment","Entire home/apt",3,1,0,2,"Real Bed",900,1,2,0,"t","f","flexible"
"478","f","f","Jamaica Plain","Apartment","Entire home/apt",12,2,4,5,"Real Bed",550,1,3,10,"f","f","strict"
"602","f","t","Mission Hill","Apartment","Entire home/apt",8,2,3,5,"Real Bed",500,5,6,0,"f","f","strict"
"609","f","f","Mission Hill","Apartment","Private room",1,1,1,1,"Real Bed",872,1,1,0,"f","f","flexible"
"651","f","t","Bay Village","Apartment","Entire home/apt",2,1,0,1,"Real Bed",600,1,1,0,"f","f","flexible"
"661","f","t","Bay Village","Condominium","Entire home/apt",2,1.5,1,1,"Real Bed",990,1,3,0,"f","f","moderate"
"662","t","t","Bay Village","Apartment","Entire home/apt",7,1.5,3,4,"Real Bed",423,7,3,33,"t","t","strict"
"663","f","f","Bay Village","Townhouse","Entire home/apt",6,2,2,2,"Real Bed",1250,1,5,0,"f","f","flexible"
"676","f","f","Bay Village","House","Entire home/apt",5,2.5,2,4,"Real Bed",500,1,5,7,"t","f","strict"
"694","f","f","Chinatown","Apartment","Entire home/apt",5,2,2,2,"Real Bed",800,1,6,2,"f","f","strict"
